Booking ID	Start Time	End Time	Hourly Rate	Machine Spec	Total Hours	Total Billed	Slicify Commission Paid	Total Net Commission
51046	2/9/2014 6:14:34 PM	2/9/2014 6:37:01 PM	$0.01	Intel(R) Core(TM) i5 CPU M 520 @ 2.40GHz 3 core / 1536 mb RAM	1	$0.01	$0.01	$0.00
51041	2/9/2014 6:14:21 PM	2/9/2014 6:37:07 PM	$0.01	Intel(R) Core(TM) i5 CPU M 560 @ 2.67GHz 3 core / 1024 mb RAM	1	$0.01	$0.01	$0.00
51023	2/9/2014 6:12:09 PM	2/9/2014 6:12:59 PM	$0.01	Intel(R) Core(TM) i5 CPU M 560 @ 2.67GHz 3 core / 1024 mb RAM	1	$0.01	$0.01	$0.00
51017	2/9/2014 6:11:49 PM	2/9/2014 6:13:12 PM	$0.01	Intel(R) Core(TM) i5 CPU M 520 @ 2.40GHz 3 core / 1536 mb RAM	1	$0.01	$0.01	$0.00
50951	2/9/2014 6:06:48 PM	2/9/2014 6:10:29 PM	$0.01	Intel(R) Core(TM) i5 CPU M 520 @ 2.40GHz 3 core / 1536 mb RAM	1	$0.01	$0.01	$0.00
50945	2/9/2014 6:06:18 PM	2/9/2014 6:10:48 PM	$0.01	Intel(R) Core(TM) i5 CPU M 560 @ 2.67GHz 3 core / 1024 mb RAM	1	$0.01	$0.01	$0.00
50916	2/9/2014 5:08:39 PM	2/9/2014 6:04:56 PM	$0.01	Intel(R) Core(TM) i5 CPU M 560 @ 2.67GHz 3 core / 1024 mb RAM	1	$0.01	$0.01	$0.00
50896	2/9/2014 4:27:24 PM	2/9/2014 6:05:26 PM	$0.01	Intel(R) Core(TM) i5 CPU M 520 @ 2.40GHz 3 core / 1536 mb RAM	2	$0.02	$0.01	$0.01
50724	2/9/2014 2:50:38 PM	2/9/2014 2:52:31 PM	$0.01	Intel(R) Core(TM) i5 CPU M 560 @ 2.67GHz 3 core / 1024 mb RAM	1	$0.01	$0.01	$0.00
50703	2/9/2014 2:30:07 PM	2/9/2014 2:49:12 PM	$0.01	Intel(R) Core(TM) i5 CPU M 560 @ 2.67GHz 3 core / 1024 mb RAM	1	$0.01	$0.01	$0.00
50638	2/9/2014 12:58:25 PM	2/9/2014 1:09:41 PM	$0.01	Intel(R) Core(TM) i5 CPU M 560 @ 2.67GHz 3 core / 1024 mb RAM	1	$0.01	$0.01	$0.00
50306	2/9/2014 2:30:26 AM	2/9/2014 8:58:28 AM	$0.01	Intel(R) Core(TM) i5 CPU M 560 @ 2.67GHz 3 core / 1024 mb RAM	6	$0.06	$0.03	$0.03
50119	2/9/2014 12:09:33 AM	2/9/2014 9:03:28 AM	$0.01	Intel(R) Core(TM) i5 CPU M 520 @ 2.40GHz 3 core / 1536 mb RAM	8	$0.08	$0.04	$0.04
49577	2/8/2014 12:59:08 AM	2/9/2014 12:07:56 AM	$0.01	Intel(R) Core(TM) i5 CPU M 520 @ 2.40GHz 3 core / 1536 mb RAM	23	$0.23	$0.12	$0.11
49518	2/7/2014 11:41:32 PM	2/9/2014 12:08:08 AM	$0.01	Intel(R) Core(TM) i5 CPU M 560 @ 2.67GHz 3 core / 1024 mb RAM	24	$0.24	$0.12	$0.12
48742	2/7/2014 4:33:42 AM	2/7/2014 5:03:03 AM	$0.01	Intel(R) Core(TM) i5 CPU M 520 @ 2.40GHz 3 core / 1536 mb RAM	1	$0.01	$0.01	$0.00
45865	2/1/2014 12:43:26 PM	2/2/2014 5:25:10 AM	$0.01	Intel(R) Core(TM) i5 CPU M 560 @ 2.67GHz 3 core / 1024 mb RAM	17	$0.17	$0.09	$0.08
43953	1/30/2014 1:12:23 PM	1/31/2014 9:20:09 AM	$0.01	Intel(R) Core(TM) i5 CPU M 560 @ 2.67GHz 3 core / 1024 mb RAM	20	$0.20	$0.10	$0.10
43146	1/30/2014 3:03:09 AM	1/30/2014 12:33:27 PM	$0.01	Intel(R) Core(TM) i5 CPU M 560 @ 2.67GHz 3 core / 1024 mb RAM	9	$0.09	$0.05	$0.04
41797	1/29/2014 6:48:25 AM	1/29/2014 11:55:42 AM	$0.01	Intel(R) Core(TM) i5 CPU M 560 @ 2.67GHz 3 core / 1024 mb RAM	6	$0.06	$0.03	$0.03
39118	1/27/2014 7:32:19 PM	1/29/2014 6:15:47 AM	$0.01	Intel(R) Core(TM) i5 CPU M 560 @ 2.67GHz 3 core / 1024 mb RAM	35	$0.35	$0.18	$0.17
38167	1/27/2014 6:46:37 AM	1/27/2014 12:18:03 PM	$0.01	Intel(R) Core(TM) i5 CPU M 560 @ 2.67GHz 3 core / 1024 mb RAM	6	$0.06	$0.03	$0.03
37407	1/26/2014 7:58:50 PM	1/27/2014 5:34:32 AM	$0.01	Intel(R) Core(TM) i5 CPU M 560 @ 2.67GHz 3 core / 1024 mb RAM	9	$0.09	$0.05	$0.04
36763	1/26/2014 1:33:01 PM	1/26/2014 7:55:45 PM	$0.01	Intel(R) Core(TM) i5 CPU M 560 @ 2.67GHz 3 core / 1024 mb RAM	6	$0.06	$0.03	$0.03
34772	1/25/2014 1:40:46 PM	1/26/2014 7:55:23 AM	$0.01	Intel(R) Core(TM) i5 CPU M 560 @ 2.67GHz 3 core / 1024 mb RAM	18	$0.18	$0.09	$0.09
34378	1/25/2014 10:54:18 AM	1/25/2014 1:27:39 PM	$0.02	Intel(R) Core(TM) i5 CPU M 560 @ 2.67GHz 3 core / 1024 mb RAM	3	$0.06	$0.03	$0.03
34006	1/25/2014 5:25:15 AM	1/25/2014 10:50:51 AM	$0.01	Intel(R) Core(TM) i5 CPU M 560 @ 2.67GHz 3 core / 1024 mb RAM	5	$0.05	$0.03	$0.02
